Entry,Gene Names
P01033,TIMP1 CLGI TIMP
P01034,CST3
P01036,CST4
P01037,CST1
P01040,CSTA STF1 STFA
P01042,KNG1 BDK KNG
P01127,PDGFB PDGF2 SIS
P01135,TGFA
P01137,TGFB1 TGFB
P01138,NGF NGFB
P01148,GNRH1 GNRH GRH LHRH
P01160,NPPA ANP PND
P01178,OXT OT
P01185,AVP ARVP VP
P01189,POMC
P01210,PENK
P01213,PDYN
P01215,CGA
P01222,TSHB
P01225,FSHB
P01229,LHB
P01236,PRL
P01241,GH1
P01242,GH2
P01258,CALCA CALC1
P01266,TG
P01270,PTH
P01275,GCG
P01282,VIP
P01286,GHRH GHRF
P01298,PPY PNP
P01303,NPY
P01308,INS
P01344,IGF2 IGF-2 PP1446
P01350,GAST GAS
P01374,LTA TNFB TNFSF1
P01375,TNF TNFA TNFSF2
P01563,IFNA2 IFNA2A IFNA2B IFNA2C
P01567,IFNA7
P01568,IFNA21
P01570,IFNA14
P01571,IFNA17
P01574,IFNB1 IFB IFNB
P01579,IFNG
P01583,IL1A IL1F1
P01584,IL1B IL1F2
P01588,EPO
P01591,JCHAIN IGCJ IGJ
P01593,IGKV1D-33
P01594,IGKV1-33
P01597,IGKV1-39
P01602,IGKV1-5
P01615,IGKV2D-28
P01619,IGKV3-20
P01699,IGLV1-44
P01700,IGLV1-47
P01701,IGLV1-51
P01704,IGLV2-14
P01705,IGLV2-23
P01706,IGLV2-11
P01709,IGLV2-8
P01721,IGLV6-57
P01732,CD8A MAL
P01742,IGHV1-69
P01764,IGHV3-23
P01768,IGHV3-30
P01772,IGHV3-33
P01780,IGHV3-7
P01814,IGHV2-70
P01817,IGHV2-5
P01825,IGHV4-59
P01833,PIGR
P01834,IGKC
P01854,IGHE
P01857,IGHG1
P01859,IGHG2
P01860,IGHG3
P01861,IGHG4
P01871,IGHM
P01876,IGHA1
P01877,IGHA2
P01880,IGHD
P01889,HLA-B HLAB
P01903,HLA-DRA HLA-DRA1
P01911,HLA-DRB1
P02452,COL1A1
P02458,COL2A1
P02461,COL3A1
P02462,COL4A1
P02511,CRYAB CRYA2 HSPB5
P02647,APOA1
P02649,APOE
P02652,APOA2
P02654,APOC1
P02655,APOC2 APC2
P02656,APOC3
P02671,FGA
P02675,FGB
P02679,FGG PRO2061
P02741,CRP PTX1
P02743,APCS PTX2
P02745,C1QA
P02746,C1QB
P02747,C1QC C1QG
P02748,C9
P02749,APOH B2G1
P02750,LRG1 LRG
P02751,FN1 FN
P02753,RBP4 PRO2222
P02760,AMBP HCP ITIL
P02763,ORM1 AGP1
P02765,AHSG FETUA PRO2743
P02766,TTR PALB
P02768,ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341
P02771,AFP HPAFP
P02774,GC
P02775,PPBP CTAP3 CXCL7 SCYB7 TGB1 THBGB1
P02776,PF4 CXCL4 SCYB4
P02778,CXCL10 INP10 SCYB10
P02786,TFRC
P02787,TF PRO1400
P02788,LTF GIG12 LF
P02790,HPX
P02808,STATH
P02810,PRH1; PRH2
P02812,PRB2
P02814,SMR3B PBII PRL3 PROL3
P02818,BGLAP
P03950,ANG RNASE5
P03951,F11
P03952,KLKB1 KLK3
P03956,MMP1 CLG
P03971,AMH MIF
P03973,SLPI WAP4 WFDC4
P04003,C4BPA C4BP
P04004,VTN
P04054,PLA2G1B PLA2 PLA2A PPLA2
P04070,PROC
P04083,ANXA1 ANX1 LPC1
P04085,PDGFA PDGF1
P04090,RLN2
P04114,APOB
P04118,CLPS
P04141,CSF2 GMCSF
P04155,TFF1 BCEI PS2
P04180,LCAT
P04196,HRG
P04217,A1BG
P04233,CD74 DHLAG
P04271,S100B
P04275,VWF F8VWF
P04278,SHBG
P04279,SEMG1 SEMG
P04280,PRB1
P04439,HLA-A HLAA
P04628,WNT1 INT1
P04746,AMY2A
P05000,IFNW1
P05014,IFNA4
P05019,IGF1 IBP1 IGF-1
P05060,CHGB SCG1
P05067,APP A4 AD1
P05090,APOD
P05106,ITGB3 GP3A
P05107,ITGB2 CD18 MFI7
P05109,S100A8 CAGA CFAG MRP8
P05111,INHA
P05112,IL4
P05113,IL5
P05120,SERPINB2 PAI2 PLANH2
P05121,SERPINE1 PAI1 PLANH1
P05154,SERPINA5 PCI PLANH3 PROCI
P05155,SERPING1 C1IN C1NH
P05156,CFI IF
P05160,F13B
P05161,ISG15 G1P2 UCRP
P05187,ALPP PLAP
P05230,FGF1 FGFA
P05231,IL6 IFNB2
P05305,EDN1
P05408,SCG5 SGNE1
P05451,REG1A PSPS PSPS1 REG
P05452,CLEC3B TNA
P05543,SERPINA7 TBG
P05546,SERPIND1 HCF2
P05556,ITGB1 FNRB MDF2 MSK12
P05814,CSN2 CASB
P05997,COL5A2
P06276,BCHE CHE1
P06307,CCK
P06312,IGKV4-1
P06396,GSN
P06681,C2
P06702,S100A9 CAGB CFAG MRP14
P06727,APOA4
P06734,FCER2 CD23A CLEC4J FCE2 IGEBF
P06744,GPI
P06756,ITGAV MSK8 VNRA VTNR
P06850,CRH
P06858,LPL LIPD
P06881,CALCA CALC1
P07093,SERPINE2 PI7 PN1
P07098,LIPF
P07108,DBI
P07225,PROS1 PROS
P07237,P4HB ERBA2L PDI PDIA1 PO4DB
P07288,KLK3 APS
P07306,ASGR1 CLEC4H1
P07339,CTSD CPSD
P07355,ANXA2 ANX2 ANX2L4 CAL1H LPC2D
P07357,C8A
P07358,C8B
P07360,C8G
P07477,PRSS1 TRP1 TRY1 TRYP1
P07478,PRSS2 TRY2 TRYP2
P07492,GRP
P07498,CSN3 CASK CSN10 CSNK
P07585,DCN SLRR1B
P07602,PSAP GLBA SAP1
P07711,CTSL CTSL1
P07858,CTSB CPSB
P07911,UMOD
P07942,LAMB1
P07988,SFTPB SFTP3
P07996,THBS1 TSP TSP1
P07998,RNASE1 RIB1 RNS1
P08118,MSMB PRSP
P08123,COL1A2
P08174,CD55 CR DAF
P08185,SERPINA6 CBG
P08217,CELA2A ELA2A
P08218,CELA2B ELA2B
P08238,HSP90AB1 HSP90B HSPC2 HSPC3 HSPCB
P08253,MMP2 CLG4A
P08254,MMP3 STMY1
P08294,SOD3
P08311,CTSG
P08476,INHBA
P08493,MGP MGLAP GIG36
P08571,CD14
P08572,COL4A2
P08581,MET
P08582,MELTF MAP97 MFI2
P08603,CFH HF HF1 HF2
P08620,FGF4 HST HSTF1 KS3
P08637,FCGR3A CD16A FCG3 FCGR3 IGFR3
P08648,ITGA5 FNRA
P08697,SERPINF2 AAP PLI
P08700,IL3
P08709,F7
P08833,IGFBP1 IBP1
P08887,IL6R
P08949,NMB
P08962,CD63 MLA1 TSPAN30
P08F94,PKHD1 FCYT TIGM1
P09038,FGF2 FGFB
P09172,DBH
P09228,CST2
P09237,MMP7 MPSL1 PUMP1
P09238,MMP10 STMY2
P09326,CD48 BCM1 BLAST1
P09341,CXCL1 GRO GRO1 GROA MGSA SCYB1
P09382,LGALS1
P09429,HMGB1 HMG1
P09466,PAEP
P09486,SPARC ON
P09529,INHBB
P09544,WNT2 INT1L1 IRP
P09603,CSF1
P09681,GIP
P09683,SCT
P09871,C1S
P09919,CSF3 C17orf33 GCSF
P09958,FURIN FUR PACE PCSK3
P0C0L4,C4A CO4 CPAMD2
P0C0L5,C4B CO4 CPAMD3; C4B_2
P0C2W1,FBXO45 FBX45
P0CG04,IGLC1
P0CG37,CFC1
P0DJD7,PGA4
P0DJD8,PGA3
P0DJD9,PGA5
P0DJI8,SAA1
P0DJI9,SAA2
P0DMC3,APELA ELA TDL
P0DML2,CSH1
P0DML3,CSH2
P0DMS9,TMIGD3 UNQ1931/PRO4406
P0DMV8,HSPA1A HSP72 HSPA1 HSX70
P0DN86,CGB3 CGB; CGB5; CGB8
P0DOX5,
P0DOY2,IGLC2
P0DOY3,IGLC3
P0DP57,SLURP2
P0DPD6,ECE2 KIAA0604 UNQ403/PRO740
P0DPK3,NOTCH2NLB
P0DPK4,NOTCH2NLC
P0DTE7,AMY1B AMY1
P0DTE8,AMY1C AMY1
P0DUB6,AMY1A AMY1
P10082,PYY
P10092,CALCB CALC2
P10124,SRGN PRG PRG1
P10144,GZMB CGL1 CSPB CTLA1 GRB
P10145,CXCL8 IL8
P10147,CCL3 G0S19-1 MIP1A SCYA3
P10163,PRB4
P10321,HLA-C HLAC
P10451,SPP1 BNSP OPN PSEC0156
P10599,TXN TRDX TRX TRX1
P10600,TGFB3
P10636,MAPT MAPTL MTBT1 TAU
P10643,C7
P10645,CHGA
P10646,TFPI LACI TFPI1
P10720,PF4V1 CXCL4V1 SCYB4V1
P10745,RBP3
P10767,FGF6 HST2 HSTF2
P10909,CLU APOJ CLI KUB1 AAG4
P10912,GHR
P10966,CD8B CD8B1
P10997,IAPP
P11021,HSPA5 GRP78
P11047,LAMC1 LAMB2
P11150,LIPC HTGL
P11226,MBL2 COLEC1 MBL
P11464,PSG1 B1G1 PSBG1 PSGGA
P11487,FGF3 INT2
P11597,CETP
P11684,SCGB1A1 CC10 CCSP UGB
P11686,SFTPC SFTP2
P12034,FGF5
P12107,COL11A1 COLL6
P12109,COL6A1
P12110,COL6A2
P12111,COL6A3
P12259,F5
P12272,PTHLH PTHRP
P12273,PIP GCDFP15 GPIP4
P12544,GZMA CTLA3 HFSP
P12643,BMP2 BMP2A
P12644,BMP4 BMP2B DVR4
P12645,BMP3 BMP3A
P12724,RNASE3 ECP RNS3
P12821,ACE DCP DCP1
P12838,DEFA4 DEF4
P13232,IL7
P13236,CCL4 LAG1 MIP1B SCYA4
P13284,IFI30 GILT IP30
P13385,CRIPTO CRIPTO-1 TDGF1
P13497,BMP1 PCOLC
P13500,CCL2 MCP1 SCYA2
P13501,CCL5 D17S136E SCYA5
P13521,SCG2 CHGC
P13591,NCAM1 NCAM
P13611,VCAN CSPG2
P13612,ITGA4 CD49D
P13645,KRT10 KPP
P13671,C6
P13688,CEACAM1 BGP BGP1
P13725,OSM
P13726,F3
P13727,PRG2 MBP
P13747,HLA-E HLA-6.2 HLAE
P13942,COL11A2
P13987,CD59 MIC11 MIN1 MIN2 MIN3 MSK21
P14138,EDN3
P14174,MIF GLIF MMIF
P14207,FOLR2
P14222,PRF1 PFP
P14314,PRKCSH G19P1
P14543,NID1 NID
P14555,PLA2G2A PLA2B PLA2L RASF-A
P14625,HSP90B1 GRP94 HSPC4 TRA1
P14735,IDE
P14778,IL1R1 IL1R IL1RA IL1RT1
P14780,MMP9 CLG4B
P14920,DAO DAMOX
P15018,LIF HILDA
P15085,CPA1 CPA
P15086,CPB1 CPB PCPB
P15151,PVR PVS
P15169,CPN1 ACBP
P15248,IL9
P15291,B4GALT1 GGTB2
P15309,ACP3 ACPP
P15328,FOLR1 FOLR
P15502,ELN
P15509,CSF2RA CSF2R CSF2RY
P15515,HTN1 HIS1
P15516,HTN3 HIS2
P15692,VEGFA VEGF
P15814,IGLL1 IGL1
P15907,ST6GAL1 SIAT1
P15941,MUC1 PUM
P16035,TIMP2
P16070,CD44 LHR MDU2 MDU3 MIC4
P16112,ACAN AGC1 CSPG1 MSK16
P16233,PNLIP
P16442,ABO
P16471,PRLR
P16519,PCSK2 NEC2
P16619,CCL3L1 D17S1718 G0S19-2 SCYA3L1; CCL3L3
P16860,NPPB
P16870,CPE
P16871,IL7R
P17213,BPI
P17405,SMPD1 ASM
P17693,HLA-G HLA-6.0 HLAG
P17927,CR1 C3BR
P17931,LGALS3 MAC2
P17936,IGFBP3 IBP3
P17948,FLT1 FLT FRT VEGFR1
P18065,IGFBP2 BP2 IBP2
P18075,BMP7 OP1
P18428,LBP
P18509,ADCYAP1
P18510,IL1RN IL1F3 IL1RA
P18627,LAG3 FDC
P18827,SDC1 SDC
P19021,PAM
P19022,CDH2 CDHN NCAD
P19235,EPOR
P19320,VCAM1
P19438,TNFRSF1A TNFAR TNFR1
P19652,ORM2 AGP2
P19801,AOC1 ABP ABP1 DAO
P19823,ITIH2 IGHEP2
P19827,ITIH1 IGHEP1
P19835,CEL BAL
P19875,CXCL2 GRO2 GROB MIP2A SCYB2
P19876,CXCL3 GRO3 GROG SCYB3
P19883,FST
P19957,PI3 WAP3 WFDC14
P20061,TCN1 TC1
P20062,TCN2 TC2
P20142,PGC
P20155,SPINK2
P20231,TPSB2 TPS2
P20333,TNFRSF1B TNFBR TNFR2
P20366,TAC1 NKA NKNA TAC2
P20396,TRH
P20701,ITGAL CD11A
P20742,PZP CPAMD6
P20774,OGN OIF SLRR3A
P20783,NTF3
P20800,EDN2
P20809,IL11
P20827,EFNA1 EPLG1 LERK1 TNFAIP4
P20849,COL9A1
P20851,C4BPB
P20908,COL5A1
P21128,ENDOU
P21246,PTN HBNF1 NEGF1
P21583,KITLG MGF SCF
P21741,MDK MK1 NEGF2
P21754,ZP3 ZP3A ZP3B ZPC
P21781,FGF7 KGF
P21802,FGFR2 BEK KGFR KSAM
P21810,BGN SLRR1A
P21815,IBSP BNSP
P21860,ERBB3 HER3
P21926,CD9 MIC3 TSPAN29 GIG2
P21941,MATN1 CMP CRTM
P21980,TGM2
P22003,BMP5
P22004,BMP6 VGR
P22079,LPO SAPX
P22105,TNXB HXBL TNX TNXB1 TNXB2 XB
P22301,IL10
P22303,ACHE
P22352,GPX3 GPXP
P22362,CCL1 SCYA1
P22413,ENPP1 M6S1 NPPS PC1 PDNP1
P22455,FGFR4 JTK2 TKF
P22466,GAL GAL1 GALN GLNN
P22607,FGFR3 JTK4
P22626,HNRNPA2B1 HNRPA2B1
P22692,IGFBP4 IBP4
P22749,GNLY LAG2 NKG5 TLA519
P22792,CPN2 ACBP
P22891,PROZ
P22894,MMP8 CLG1
P23083,IGHV1-2
P23142,FBLN1 PP213
P23246,SFPQ PSF
P23280,CA6
P23284,PPIB CYPB
P23327,HRC HCP
P23352,ANOS1 ADMLX KAL KAL1 KALIG1
P23435,CBLN1
P23471,PTPRZ1 HTPZP2 PTPRZ PTPRZ2 PTPZ
P23560,BDNF
P23582,NPPC CNP2
P23946,CMA1 CYH CYM
P24001,IL32 NK4 TAIF
P24043,LAMA2 LAMM
P24071,FCAR CD89
P24158,PRTN3 MBN
P24347,MMP11 STMY3
P24387,CRHBP CRFBP
P24394,IL4R IL4RA 582J2.1
P24592,IGFBP6 IBP6
P24593,IGFBP5 IBP5
P24821,TNC HXB
P24855,DNASE1 DNL1 DRNI
P25067,COL8A2
P25311,AZGP1 ZAG ZNGP1
P25391,LAMA1 LAMA
P25445,FAS APT1 FAS1 TNFRSF6
P25774,CTSS
P25940,COL5A3
P25942,CD40 TNFRSF5
P26022,PTX3 TNFAIP5 TSG14
P26447,S100A4 CAPL MTS1
P26583,HMGB2 HMG2
P26927,MST1 D3F15S2 DNF15S2 HGFL
P27169,PON1 PON
P27352,CBLIF GIF IFMH
P27487,DPP4 ADCP2 CD26
P27539,GDF1
P27658,COL8A1 C3orf7
P27797,CALR CRTC
P27918,CFP PFC
P27930,IL1R2 IL1RB
P28039,AOAH
P28300,LOX
P28325,CST5
P28799,GRN
P29122,PCSK6 PACE4
P29279,CCN2 CTGF HCS24 IGFBP8
P29320,EPHA3 ETK ETK1 HEK TYRO4
P29400,COL4A5
P29459,IL12A NKSF1
P29460,IL12B NKSF2
P29508,SERPINB3 SCCA SCCA1
P29622,SERPINA4 KST PI4
P29965,CD40LG CD40L TNFSF5 TRAP
P30040,ERP29 C12orf8 ERP28
P30203,CD6
