Entry,Gene Names
Q9UKP4,ADAMTS7
Q9UKP5,ADAMTS6
Q9ULZ9,MMP17 MT4MMP
Q9UMD9,COL17A1 BP180 BPAG2
Q9UNA0,ADAMTS5 ADAMTS11 ADMP2
Q9UP79,ADAMTS8 METH2
Q9UQP3,TNN TNW
Q9Y4K0,LOXL2
Q9Y5R2,MMP24 MT5MMP
Q9Y6C2,EMILIN1 EMI
Q9Y6F9,WNT6
Q9Y6N6,LAMC3
V9HW88,HEL-S-99n
V9HWG3,HEL-S-45
A0A0A0MSA0,LAMA3
A0A0S2Z421,MYOC
A5YM40,TGFB3 hCG_20489
A8K2M5,
B2R7T2,
B3KRV7,
B7Z507,
B7Z747,
O00515,LAD1 LAD
O15335,CHAD SLRR4A
P10915,HAPLN1 CRTL1
Q07507,DPT
Q53HW6,
Q53RD9,FBLN7 TM14
Q6IAV0,LPL
Q6PEZ8,PODNL1 SLRR5B
Q6UXA7,C6orf15 STG UNQ1840/PRO3566
Q6UXI7,VIT UNQ647/PRO1277
Q6XPR3,RPTN
Q71UV2,
Q76M96,CCDC80 DRO1 URB HBE245
Q86UW8,HAPLN4 BRAL2 KIAA1926
Q8NDA2,HMCN2
Q8NFW1,COL22A1
Q8TCW7,ZPLD1
Q96I82,KAZALD1 FKSG28 FKSG40 UNQ2945/PRO21184
Q96PL2,TECTB
Q99218,AMELY AMGL AMGY
Q99645,EPYC DSPG3 PGLB SLRR3B
A0A024R6G3,
A0A087WX80,LAMA2
A0A087WYF1,LAMA2
A0A087WYL3,IMPG1
A0A087X0M8,CHL1
A0A0A0MQW6,ADAMTS10
A0A0A0MTC7,LAMA4
A0A0C4DFS1,COL11A2 hCG_2039805
A0A0G2JL35,COL11A2
A0A0G2JL78,COL11A2 hCG_2039805
A0A0H3W5P3,MYOC
A0A0S2Z3R6,LAMB3
A0A140CTW9,MYOC
A0A140CTX0,MYOC
A0A140CTX1,MYOC
A0A140CTX2,MYOC
A0A140CTX4,MYOC
A0A140T9N1,COL11A2
A0A140TA43,COL11A2
A0A140TA54,COL11A2
A0A140VJI7,
A0A384MDP3,
A0A384MDV6,CPZ hCG_16447
A0A384MDX3,
A0A384ME91,
A0A384MR03,
A0A5K1VW97,ACAN
A0A7I2V2J0,LAMB1
A0A7I2V2T9,LAMB1
A0A7I2V3I5,LAMB1
A0A7I2V3J7,LAMB1
A0A7I2V407,LAMB1
A0A7I2V4J9,LAMB1
A0A7I2V5J1,ADAMTS1
A0A7I2V5R0,LAMB1
A0A7I2V5X5,LAMB1
A0A7I2V682,LAMB1
A0A7I2YQL5,ADAMTS1
A0A7I2YQL8,TGFB1
A0A7P0T861,CALR
A0A7P0TA83,RELN
A0A9L9PXD9,FBLN5
A6NHN0,OTOL1
A8K144,
A8K3I0,
A8K6A8,
B0YJ32,LAMA3
B2RB33,
B2RCP7,
B3KVH9,
B4DDQ4,
B4DLD1,
B4DN15,
B4DN90,
B4DV44,
B4DVZ2,
B6ECI7,MYOC
B6V6K6,MYOC
B6V6K7,MYOC
B7Z7V0,
B7Z832,
B7Z8A9,
B7Z938,
B7ZLE5,FN1
B7ZLY3,LTBP1
B8ZZC1,FBLN7
C8CHS3,ECM1
C9JD84,LTBP1
D6RH31,NPNT
D9ZGF2,COL6A3
E5RI60,ADAMTS1
E7ERP7,APOE
E7ES19,THBS4
E9PEV4,APOE
E9PF17,VCAN
F1T0J3,IMPG2
G3V3X5,LTBP2
G3XAI2,LAMB1
G3XAP6,COMP hCG_37043
G5E971,MMP13 hCG_39650
H0Y7L5,APOE
H0YJV3,NID2
J3KQ66,RELN
K7EJB9,CALR
K7EL50,CALR
O00634,NTN3 NTN2L
P0C091,FREM3
Q3B7J2,GFOD2 UNQ9430/PRO34691
Q4VXY6,COL11A2 RP5-1033B10.5-001
Q53FK3,
Q53FR6,
Q53G71,
Q53G75,
Q53G96,
Q53G97,
Q53H33,
Q59FG9,
Q5D044,LAMA4
Q5HYL0,DKFZp686E01144
Q5M8T4,CTGF
Q5TZP0,
Q5U5M0,MMP17
Q6AZ94,LTBP2
Q6FHL8,CTGF
Q6PKX1,MYOC
Q7Z304,MAMDC2
Q7Z5M0,
Q7Z5M1,
Q8IUL8,CILP2
Q8IVN8,SBSPON C8orf84 RPESP
Q8IWC3,MMP17
Q8N854,
Q8NE26,ADAMTS1
Q8WVF2,UCMA C10orf49
Q96S86,HAPLN3 EXLD1 UNQ238/PRO271
Q9BSG5,RTBDN
S4R3Y4,AMBP
W6I206,LOXL2
W8QRJ0,LOXL2
A0A024R971,
A0A067XJP8,GRP UCMA
A0A067XJX6,GRP UCMA
A0A067XKV3,GRP UCMA
A0A075B783,LAMA3
A0A087WTY5,COL4A1
A0A087WXC4,TNN
A0A087WYX9,COL5A2
A0A087WZY5,COL4A6
A0A0A0MT20,EMILIN1
A0A0A0MTJ2,SPOCK3 hCG_1811376
A0A0A0MTS5,LAMA3 hCG_1811249
A0A0A0U994,COL4A5
A0A0A6YYF2,LAMA3 hCG_1811249
A0A0A8KWK3,TGFBR3 hCG_21711
A0A0C4DH07,LTBP4
A0A0G2JHD9,COL11A2
A0A0S2Z3H5,COL1A2
A0A0S2Z3L8,DCN
A0A0S2Z4F1,EFEMP1
A0A0S2Z4Q2,TGFBI
A0A140CTX3,MYOC
A0A140T8Y3,TNXB
A0A140T902,TNXB
A0A140T9C0,TNXB
A0A140T9I7,COL11A2
A0A140TA33,TNXB
A0A140TA41,TNXB
A0A140TA52,TNXB
A0A158RFW1,COL21A1
A0A1B0GTY3,ADAMTS2
A0A1B1SMR9,COL9A1
A0A1U9X7H3,
A0A1U9X7I1,
A0A1U9X7I7,
A0A1U9X7I9,
A0A1U9X7J1,
A0A1U9X7J8,
A0A2H4GYZ1,WNT10A
A0A2K8FR47,WNT10A
A0A2R8Y6R9,TECTB
A0A2R8YDL0,TECTA
A0A2R8YGB5,TECTB
A0A2R8YGQ5,TECTA
A0A346DBY2,APOE
A0A384MDM4,
A0A384MDU2,COL1A2 hCG_1686428
A0A384N669,
A0A384NKY7,WNT8B hCG_24657
A0A3B3IRN5,FMOD
A0A3B3IS47,COL4A2
A0A3B3ISV3,COL4A1
A0A3B3ISX9,TNXB
A0A3B3ITC9,WNT2
A0A3B3ITG1,LAMA3
A0A494C0D8,FBN3
A0A6G9EL94,
A0A6I8PL22,FBN1
A0A6I8PS14,NTN4
A0A7I2V2R2,LAMB1
A0A7I2V400,ADAMTS1
A0A7I2V4P4,ANXA2
A0A7I2V5T9,LAMB1
A0A7P0T9B9,ADAMTSL1
A0A8I5KYV1,LTBP3
A0A8S0LWY1,FBLN1
A0A8S0MAG0,FBLN1
A0A8V8TMU7,ADAMTS2
A0A994J7C1,TNC
A0A9H4AZX0,FBN2
A0A9L9PXI5,WNT3
A0A9L9PXJ3,WNT3
A0A9L9PY85,FBLN5
A0AAG2UUZ6,COL3A1
A0AAG2UVC5,COL3A1
A0AAG2UW65,COL18A1 hCG_1647196
A0AAG2UXZ5,COL18A1 hCG_1647196
A0AAQ5BGR9,COL3A1
A0AAQ5BGS2,COL3A1
A0AAQ5BH57,TNR
A0AAQ5BH92,TNR
A0AAQ5BHW7,COL4A2
A0AAQ5BHX0,COL4A1
A0AAQ5BHY3,COL4A2
A1L306,TNR
A3KC71,okuribin
A3KMG0,MATN1
A4D0W7,WNT16 hCG_33084 tcag7.91
A4D0W8,WNT16 hCG_33084 tcag7.91
A6NCT7,COL16A1
A7L3I8,ELN
A7MBN2,TNC
A7MBN3,COL4A5
A8K0G1,WNT7B
A8K0R3,OGN hCG_31130
A8K7E0,
A8K7T8,
A8K8G3,
A8K9E4,
A8KA16,
A8KAJ3,
A8KAY2,FBN3
A8MXH5,COL4A6
A8W4W5,WNT16
B1AHL2,FBLN1
B1AJZ6,WNT4
B2R6M6,
B2R7N9,
B2R7Z9,
B2RCM5,
B2RDL6,
B2RTX6,COL4A6
B2ZZ86,COL5A1
B3KQU9,
B3KRQ1,
B3KRT8,ELN hCG_18037
B3KRV6,
B3KS53,
B3KS64,
B3KS75,
B3KVL8,
B3KWK5,
B3KX75,
B3KXB6,
B3KXQ2,
B3KXY6,
B3KYB3,
B4DEW5,
B4DEZ5,
B4DFW5,
B4DI52,
B4DK93,
B4DL55,
B4DMH0,
B4DN75,
B4DNH8,
B4DNL4,
B4DNP6,
B4DNR7,
B4DNR9,
B4DNS3,
B4DNW5,
B4DNX0,
B4DNZ4,
B4DQL8,
B4DRN5,
B4DSP4,
B4DTC0,
B4DTJ2,
B4DTK1,
B4DTV7,
B4DU16,
B4DUV1,
B4DV60,
B4DVE1,
B4E0I2,
B4E0T0,
B4E1J3,
B4E1N8,
B4E2Y9,
B4E342,
B4E3H8,
B4E3I6,
B5MCC8,WNT10B
B5MD45,VIT
B7Z3R6,
B7Z4X4,
B7Z4Y4,
B7Z4Y9,
B7Z9B8,
B7ZLK3,COL21A1
B7ZM70,
B7ZMJ6,LAMB4
B7ZMM7,COL4A6
B7ZW00,COL6A3
B8A595,WNT7B
B8A597,WNT7B
B8A598,WNT7B
B9EG76,LTBP3 hCG_1812642
B9EJB8,COL12A1
C0IMJ3,
C9J296,LAMB1
C9J3H3,WNT10B
C9J8I6,CCDC80
C9J8I8,WNT5A
C9JCI2,WNT10B
C9JKG1,BGN
C9JMJ0,LAMB4
C9JNG9,COL6A3
C9JUI2,WNT2
C9JWI2,ADAMTS9
D3DRA2,COL17A1 hCG_24131
D3YHM4,
D6RBS1,HAPLN1
D6RF94,WNT8A
D6RFI7,HAPLN1
D6RG04,HAPLN1
D6RGG3,COL12A1
D6RGZ6,VCAN
D6RJI3,FBN2
D9ZB55,APOE
D9ZGG3,WNT9A
E3VLD0,SFTPA2
E5RFQ2,LAMA4
E7EN51,ELN
E7EN65,ELN
E7ENM0,ELN
E7ENW7,ELN
E7EP82,ELN
E7EPA6,LAMB1
E7EPC3,WNT9B
E7EQH8,ELN
E7ETP7,ELN
E7EV71,LTBP1
E7EWS8,ELN
E9PC84,TNC
E9PDI4,LAD1
E9PFI9,ZP3
E9PH60,WNT16
E9PKI9,CNMD
E9PKW1,LTBP3
E9PRU1,EFEMP2
F5GYM2,WNT5B
F5H034,WNT5B
F5H364,WNT5B
F5H3Q5,COL4A6
F5H7Q6,WNT5B
F5H7V9,TNC
F8VUF6,DCN
F8VWU0,DCN
F8VX58,DCN
F8VXZ8,DCN
F8WAA0,LTBP4
F8WDR1,WNT2
G3V0G6,ELN hCG_18037
G3V1X8,ADAMTS20 hCG_39495
G3V2P8,FBLN5
G3V4U0,FBLN5
G3V511,LTBP2
G3XA98,FBLN5 hCG_21251
G5E950,ELN hCG_18037
H0Y393,COL6A5
H0Y3M4,ZP3
H0Y4I5,CHADL
H0Y663,WNT4
H0Y998,COL4A5
H0YAQ5,LAMA4
H0YC99,LTBP3
H0YIH3,DCN
H0YKL9,ANXA2
H0YKS4,ANXA2
H0YKX9,ANXA2
H0YKZ7,ANXA2
H0YL33,ANXA2
H0YLV6,ANXA2
H0YM50,ANXA2
H0YMD0,ANXA2
H0YMM1,ANXA2
H0YMT9,ANXA2
H0YMU9,ANXA2
H0YMW4,ANXA2
H0YN28,ANXA2
H0YN42,ANXA2
H0YNA0,ANXA2
H0YNB8,ANXA2
H0YND0,FBN1
H3BRA9,ADAMTS17
H3BTH8,HAPLN3
H7BZ65,FBLN7
H7BZB8,WNT10A
H7C1M3,MMP8
H7C2B0,RELN
H7C435,COL3A1
I3L0L8,WNT9B
J3QSU6,TNC
J9ZVQ3,APOE
K4N2H0,SFTPA1
K7EP36,LGALS3BP
K7ES70,MFAP4
L8E853,VWF
O14637,
Q05BQ6,WNT10A
Q05CF9,LAMA4
Q29RW5,ADAMTS8
Q2V4X9,COL2A1
Q2XQZ0,ADAMTS16
Q3B861,AMBN
Q3KR19,ECM2
Q3ZCT3,SPON1
Q4LE33,TNC variant protein
Q53FI4,
Q53GF1,
Q53GU8,
Q53HU6,
Q53S45,WNT6
Q53TA7,EFEMP1
Q546D7,AMBN
Q59EE6,
Q59F90,
Q59FE5,
Q59G22,
Q59G97,
Q59H37,
Q5CZI2,DKFZp686D12108
Q5FWF1,ADAMTS8
Q5PR22,COL5A2
Q5T3I6,BCAN
Q5T3I7,BCAN
Q5TEH8,WNT2B
Q63HQ8,DKFZp686M21196
Q68CX6,DKFZp686O13149
Q69YJ3,DKFZp762L185
Q6DK41,WNT5A
Q6FH10,DCN DKFZp686J19238 hCG_24110
Q6FH22,EFEMP2
Q6IPJ9,LAD1
Q6LBZ1,
Q6MZF4,DKFZp686K139 DKFZp686F219
Q6MZK8,DKFZp686K06110
Q6MZM7,DKFZp686O12165
Q6N084,DKFZp686L11144
Q6P528,ASPN
Q6PID9,ACAN
Q6ZMD1,LRRN4
Q6ZNN4,
Q6ZS96,WNT9B
Q75N88,FBN1
Q7Z532,
Q86TV4,
Q86V58,FBLN2
Q86W61,VCAN
Q8IUM6,WNT4
Q8IWX2,HABP2
Q8N2D3,
Q8N2D6,
Q8N2E5,
Q8N4S1,SPARCL1 PIG33
Q8N5L1,EMILIN2
Q8NAB7,
Q8NBH6,
Q96K89,
Q96TF5,MBP1
Q9BTP0,
Q9NP01,
Q9UEH6,COL4A6
Q9Y3V7,DKFZp586A1519
R4GMV7,UCMA
V9HW65,HEL-S-270
V9HWI9,HEL163
A0A087WT49,GFOD2
A0A087WTD9,GFOD2
A0A087WUU1,LTBP4
A0A087WVV5,LTBP4
A0A087WYH7,LAMA5
A0A087WZI0,COL8A1
A0A0C4DG90,LAMB4
A0A0G2JI07,COL11A2
A0A0G2JQ91,MAMDC2
A0A0S2Z3V1,EFEMP1 hCG_16977
A0A0U1RQV3,EFEMP1
A0A0U1RRA7,COL11A1
A0A140T8Z8,TNXB
A0A140T9L7,TNXB
A0A140T9W8,COL11A2
A0A140T9X7,COL11A2
A0A1B1PFX2,VCAN
A0A2R8Y2F0,COL4A3
A0A2R8Y4I5,COL11A1
A0A2R8Y4M5,COL11A1
A0A2R8Y5N4,COL11A1
A0A2R8Y6E5,COL4A3
A0A2R8YDU3,COL11A1
A0A384MR25,
A0A3B3IRH9,COL5A2
A0A3B3ISH5,COL4A1
A0A3B3ISZ8,COL4A1
A0A3B3IT80,COL4A2
A0A669KBE7,ADAMTSL4
A0A6B9XMH6,FBN2
A0A804HIB6,COL9A1
A0A804HLF6,COL4A4
A0A994J4S6,TNC
A0A994J7R0,TNC
A0AAG2UW46,ASPN
A0AAQ5BHB2,TNR
A0AAQ5BHY9,COL4A2
A0PJJ8,LAMA3
A2AAS7,COL11A2
A5PKV2,COL4A1
A6NLG9,
A6PVD9,COL21A1
A6YID2,FN1
A6YID3,FN1
A6YID4,FN1
A6YID5,FN1
A6YID6,FN1
A6YID7,FN1
A8K3H0,
A8K3H6,
A8K7V7,
A8VPY0,
A9LSU1,
A9QVI3,
B2BY28,AMELX
B2RA94,
B2RAJ0,
B2RC89,
B3KMD1,
B3KME2,
B3KQA8,
B3KQX9,
B3KRH8,
B3KSR2,
B3KTP7,
B3KU56,
B3KVX9,
B3KW70,MFAP5
B3KW84,
B3KWS8,
B4DDN7,
B4DDQ2,
B4DFF0,
B4DFZ4,
B4DH43,
B4DI63,
B4DM05,
B4DNJ0,
B4DNS6,
B4DQD6,
B4DQV1,
B4DRR8,
B4DRV4,
B4DST8,
B4DTF5,
B4DU54,
B4DV72,
B4DWH0,
B4DX23,
B4DZ39,
B4DZD1,
B4E0A4,
B4E1Y9,
B4E320,
B4E397,
B4E3S4,
B6RHJ5,
B7Z1Y5,
B7Z1Z4,
B7Z6T9,
B7Z988,
B7ZB68,
B7ZBI4,COL20A1
B7ZMJ3,ADAMTSL4
C9JBL3,COL7A1
C9JH44,COL6A2
C9JWT5,COLEC11
D6RAK7,HAPLN1
D6RBX9,HAPLN1
D6RC59,HAPLN1
E5RK62,SPARC
E7ENL6,COL6A3
E7ENM6,SPOCK3
E9PKA3,EFEMP2
F5GY03,SPARC
F5GYX4,MFAP5
F5H1C0,MFAP5
F5H2W4,MFAP5
F5H413,MFAP5
F5H7Z2,MFAP5
F8VSI4,EPYC
F8WDM8,COL24A1
H0Y3X1,HMCN2
H0Y4K8,FN1
H0Y5A9,HSPG2
H0Y9R8,COL4A5
H0YET5,EFEMP2
H0YG03,MFAP5
H0YGS3,MFAP5
H0YGZ3,TNC
H0YJ20,LTBP2
H0YKV8,ANXA2
H0YMD9,ANXA2
H7BXL0,FBLN2
H7BXV5,COL18A1
H7BYY9,SNED1
H7BZ76,LTBP1
H7C0I7,LTBP1
H7C0M5,COL6A2
H7C1R9,SNED1
H7C5K4,CCDC80
H8YS97,
H9C5C5,COL1A1
K7EPJ4,CILP2 hCG_38566
M0QYE9,LTBP4
M0QZX0,LTBP4
M0R2Q5,FBN3
M0R351,LTBP4
M4IQA4,
M4IS22,
O75079,
O75441,
O95608,FN1
O95617,
Q4G0W3,COL14A1
Q53FV4,
Q566Q1,LAMA3
Q59EE7,
Q59EU4,
Q59F15,
Q59F16,
Q59F25,
Q59FG3,
Q59G81,
Q59GD4,
Q59GI8,
Q59HB5,
Q59HB9,
Q5CZ99,DKFZp686I1370
Q5T0M2,SFTPD
Q5T1U7,COL27A1
Q5T2G3,OPTC
Q5T3I8,BCAN
Q5TCP6,HMCN1
Q5U0K5,
Q63HQ4,DKFZp686K04147
Q66MN3,OPTC
Q6FHG6,PRELP
Q6IPK3,TNXB
Q6LAN8,COL1A1
Q6MZG6,DKFZp686D23123
Q6NVU7,ZP1
Q6ZNB8,
Q6ZSP0,
Q6ZUN2,
Q8IY13,FBLN7
Q8N2G0,
Q8N4Z1,
Q8NBI4,
Q8TAS6,LAMB1
Q8WYU6,pp6425
Q96AY5,ADAMTS3
Q96HC0,
Q9H3D5,
Q9P0Z7,
Q9UHI2,unknown
Q9UQS6,
V9GY88,BCAN
